,titles,companies,locations,reviews,noofreviews,descriptions,salaries
1429,Senior Data Scientist,BigShyft,"Bengaluru, Karnataka",None,None,None,None
1430,"Manager, Machine Learning Engineer",Capital One,"Bengaluru, Karnataka",None,None,None,None
1431,Faculty - Artificial Intelligence,EIM,"Kochi, Kerala",None,None,None,None
1432,"Senior Data Scientist, SCM",Neem Consulting,Remote in India,None,None,None,None
1433,Quant Analytics - Associate Senior,JPMorgan Chase & Co,"Bengaluru, Karnataka",None,None,None,None
1434,Technical Content Creator - Artificial Intelligence,DTT (Digital Transformation Twin),"Lucknow, Uttar Pradesh",None,None,None,"₹35,000 - ₹45,000 a month"
1435,"Applied Scientist, EU INTech",ADCI - Karnataka,"Bengaluru, Karnataka",None,None,None,None
1436,Lead Analyst – Data Science,Travelopia,"Bengaluru, Karnataka",None,None,None,None
1437,Data Science Trainer cum Developer,Expertz lab Technologies,"Ernakulam, Kerala",None,None,None,"₹12,000 - ₹20,000 a month"
1438,Senior Data Scientist / Data Scientist 2,CommerceIQ,"Bengaluru, Karnataka",None,None,None,None
1439,Lead ML Engineer,Affine,India,None,None,None,None
1440,Senior Data scientist,ZF,"Chennai, Tamil Nadu",None,None,None,None
1441,Sales Manager B2B & B2C (Data Science ED-TECH)-Noida,Emerging India Educational Services Pvt Ltd,"Noida, Uttar Pradesh",None,None,None,"₹30,000 - ₹50,000 a month"
1442,Assistant Manager - CMG - R&I - Data Science Specialist - Hyderabad,Deloitte,"Hyderabad, Telangana",None,None,None,None
1443,Data Science,Rojgar Group,"Mumbai, Maharashtra",None,None,None,None
1444,Senior Data Scientist,BigShyft,"Bengaluru, Karnataka",None,None,None,None
1445,"Manager, Machine Learning Engineer",Capital One,"Bengaluru, Karnataka",None,None,None,None
1446,Faculty - Artificial Intelligence,EIM,"Kochi, Kerala",None,None,None,None
1447,"Senior Data Scientist, SCM",Neem Consulting,Remote in India,None,None,None,None
1448,Quant Analytics - Associate Senior,JPMorgan Chase & Co,"Bengaluru, Karnataka",None,None,None,None
1449,Technical Content Creator - Artificial Intelligence,DTT (Digital Transformation Twin),"Lucknow, Uttar Pradesh",None,None,None,"₹35,000 - ₹45,000 a month"
1450,"Applied Scientist, EU INTech",ADCI - Karnataka,"Bengaluru, Karnataka",None,None,None,None
1451,Lead Analyst – Data Science,Travelopia,"Bengaluru, Karnataka",None,None,None,None
1452,Data Science Trainer cum Developer,Expertz lab Technologies,"Ernakulam, Kerala",None,None,None,"₹12,000 - ₹20,000 a month"
1453,Senior Data Scientist / Data Scientist 2,CommerceIQ,"Bengaluru, Karnataka",None,None,None,None
1454,Lead ML Engineer,Affine,India,None,None,None,None
1455,Senior Data scientist,ZF,"Chennai, Tamil Nadu",None,None,None,None
1456,Sales Manager B2B & B2C (Data Science ED-TECH)-Noida,Emerging India Educational Services Pvt Ltd,"Noida, Uttar Pradesh",None,None,None,"₹30,000 - ₹50,000 a month"
1457,Assistant Manager - CMG - R&I - Data Science Specialist - Hyderabad,Deloitte,"Hyderabad, Telangana",None,None,None,None
1458,Data Science,Rojgar Group,"Mumbai, Maharashtra",None,None,None,None
1459,Senior Data Scientist,BigShyft,"Bengaluru, Karnataka",None,None,None,None
1460,"Manager, Machine Learning Engineer",Capital One,"Bengaluru, Karnataka",None,None,None,None
1461,Faculty - Artificial Intelligence,EIM,"Kochi, Kerala",None,None,None,None
1462,"Senior Data Scientist, SCM",Neem Consulting,Remote in India,None,None,None,None
1463,Quant Analytics - Associate Senior,JPMorgan Chase & Co,"Bengaluru, Karnataka",None,None,None,None
1464,Technical Content Creator - Artificial Intelligence,DTT (Digital Transformation Twin),"Lucknow, Uttar Pradesh",None,None,None,"₹35,000 - ₹45,000 a month"
1465,"Applied Scientist, EU INTech",ADCI - Karnataka,"Bengaluru, Karnataka",None,None,None,None
1466,Lead Analyst – Data Science,Travelopia,"Bengaluru, Karnataka",None,None,None,None
1467,Data Science Trainer cum Developer,Expertz lab Technologies,"Ernakulam, Kerala",None,None,None,"₹12,000 - ₹20,000 a month"
1468,Senior Data Scientist / Data Scientist 2,CommerceIQ,"Bengaluru, Karnataka",None,None,None,None
1469,Lead ML Engineer,Affine,India,None,None,None,None
1470,Senior Data scientist,ZF,"Chennai, Tamil Nadu",None,None,None,None
1471,Sales Manager B2B & B2C (Data Science ED-TECH)-Noida,Emerging India Educational Services Pvt Ltd,"Noida, Uttar Pradesh",None,None,None,"₹30,000 - ₹50,000 a month"
1472,Assistant Manager - CMG - R&I - Data Science Specialist - Hyderabad,Deloitte,"Hyderabad, Telangana",None,None,None,None
1473,Data Science,Rojgar Group,"Mumbai, Maharashtra",None,None,None,None
1474,Senior Data Scientist,BigShyft,"Bengaluru, Karnataka",None,None,None,None
1475,"Manager, Machine Learning Engineer",Capital One,"Bengaluru, Karnataka",None,None,None,None
1476,Faculty - Artificial Intelligence,EIM,"Kochi, Kerala",None,None,None,None
1477,"Senior Data Scientist, SCM",Neem Consulting,Remote in India,None,None,None,None
1478,Quant Analytics - Associate Senior,JPMorgan Chase & Co,"Bengaluru, Karnataka",None,None,None,None
1479,Technical Content Creator - Artificial Intelligence,DTT (Digital Transformation Twin),"Lucknow, Uttar Pradesh",None,None,None,"₹35,000 - ₹45,000 a month"
1480,"Applied Scientist, EU INTech",ADCI - Karnataka,"Bengaluru, Karnataka",None,None,None,None
1481,Lead Analyst – Data Science,Travelopia,"Bengaluru, Karnataka",None,None,None,None
1482,Data Science Trainer cum Developer,Expertz lab Technologies,"Ernakulam, Kerala",None,None,None,"₹12,000 - ₹20,000 a month"
1483,Senior Data Scientist / Data Scientist 2,CommerceIQ,"Bengaluru, Karnataka",None,None,None,None
1484,Lead ML Engineer,Affine,India,None,None,None,None
1485,Senior Data scientist,ZF,"Chennai, Tamil Nadu",None,None,None,None
1486,Sales Manager B2B & B2C (Data Science ED-TECH)-Noida,Emerging India Educational Services Pvt Ltd,"Noida, Uttar Pradesh",None,None,None,"₹30,000 - ₹50,000 a month"
1487,Assistant Manager - CMG - R&I - Data Science Specialist - Hyderabad,Deloitte,"Hyderabad, Telangana",None,None,None,None
1488,Data Science,Rojgar Group,"Mumbai, Maharashtra",None,None,None,None
1489,Senior Data Scientist,BigShyft,"Bengaluru, Karnataka",None,None,None,None
1490,"Manager, Machine Learning Engineer",Capital One,"Bengaluru, Karnataka",None,None,None,None
1491,Faculty - Artificial Intelligence,EIM,"Kochi, Kerala",None,None,None,None
1492,"Senior Data Scientist, SCM",Neem Consulting,Remote in India,None,None,None,None
1493,Quant Analytics - Associate Senior,JPMorgan Chase & Co,"Bengaluru, Karnataka",None,None,None,None
1494,Technical Content Creator - Artificial Intelligence,DTT (Digital Transformation Twin),"Lucknow, Uttar Pradesh",None,None,None,"₹35,000 - ₹45,000 a month"
1495,"Applied Scientist, EU INTech",ADCI - Karnataka,"Bengaluru, Karnataka",None,None,None,None
1496,Lead Analyst – Data Science,Travelopia,"Bengaluru, Karnataka",None,None,None,None
1497,Data Science Trainer cum Developer,Expertz lab Technologies,"Ernakulam, Kerala",None,None,None,"₹12,000 - ₹20,000 a month"
1498,Senior Data Scientist / Data Scientist 2,CommerceIQ,"Bengaluru, Karnataka",None,None,None,None
1499,Lead ML Engineer,Affine,India,None,None,None,None
1500,Senior Data scientist,ZF,"Chennai, Tamil Nadu",None,None,None,None
1501,Sales Manager B2B & B2C (Data Science ED-TECH)-Noida,Emerging India Educational Services Pvt Ltd,"Noida, Uttar Pradesh",None,None,None,"₹30,000 - ₹50,000 a month"
1502,Assistant Manager - CMG - R&I - Data Science Specialist - Hyderabad,Deloitte,"Hyderabad, Telangana",None,None,None,None
1503,Data Science,Rojgar Group,"Mumbai, Maharashtra",None,None,None,None
1504,Senior Data Scientist,BigShyft,"Bengaluru, Karnataka",None,None,None,None
1505,"Manager, Machine Learning Engineer",Capital One,"Bengaluru, Karnataka",None,None,None,None
1506,Faculty - Artificial Intelligence,EIM,"Kochi, Kerala",None,None,None,None
1507,"Senior Data Scientist, SCM",Neem Consulting,Remote in India,None,None,None,None
1508,Quant Analytics - Associate Senior,JPMorgan Chase & Co,"Bengaluru, Karnataka",None,None,None,None
1509,Technical Content Creator - Artificial Intelligence,DTT (Digital Transformation Twin),"Lucknow, Uttar Pradesh",None,None,None,"₹35,000 - ₹45,000 a month"
1510,"Applied Scientist, EU INTech",ADCI - Karnataka,"Bengaluru, Karnataka",None,None,None,None
1511,Lead Analyst – Data Science,Travelopia,"Bengaluru, Karnataka",None,None,None,None
1512,Data Science Trainer cum Developer,Expertz lab Technologies,"Ernakulam, Kerala",None,None,None,"₹12,000 - ₹20,000 a month"
1513,Senior Data Scientist / Data Scientist 2,CommerceIQ,"Bengaluru, Karnataka",None,None,None,None
1514,Lead ML Engineer,Affine,India,None,None,None,None
1515,Senior Data scientist,ZF,"Chennai, Tamil Nadu",None,None,None,None
1516,Sales Manager B2B & B2C (Data Science ED-TECH)-Noida,Emerging India Educational Services Pvt Ltd,"Noida, Uttar Pradesh",None,None,None,"₹30,000 - ₹50,000 a month"
1517,Assistant Manager - CMG - R&I - Data Science Specialist - Hyderabad,Deloitte,"Hyderabad, Telangana",None,None,None,None
1518,Data Science,Rojgar Group,"Mumbai, Maharashtra",None,None,None,None
1519,Senior Data Scientist,BigShyft,"Bengaluru, Karnataka",None,None,None,None
1520,"Manager, Machine Learning Engineer",Capital One,"Bengaluru, Karnataka",None,None,None,None
1521,Faculty - Artificial Intelligence,EIM,"Kochi, Kerala",None,None,None,None
1522,"Senior Data Scientist, SCM",Neem Consulting,Remote in India,None,None,None,None
1523,Quant Analytics - Associate Senior,JPMorgan Chase & Co,"Bengaluru, Karnataka",None,None,None,None
1524,Technical Content Creator - Artificial Intelligence,DTT (Digital Transformation Twin),"Lucknow, Uttar Pradesh",None,None,None,"₹35,000 - ₹45,000 a month"
1525,"Applied Scientist, EU INTech",ADCI - Karnataka,"Bengaluru, Karnataka",None,None,None,None
1526,Lead Analyst – Data Science,Travelopia,"Bengaluru, Karnataka",None,None,None,None
1527,Data Science Trainer cum Developer,Expertz lab Technologies,"Ernakulam, Kerala",None,None,None,"₹12,000 - ₹20,000 a month"
1528,Senior Data Scientist / Data Scientist 2,CommerceIQ,"Bengaluru, Karnataka",None,None,None,None
1529,Lead ML Engineer,Affine,India,None,None,None,None
1530,Senior Data scientist,ZF,"Chennai, Tamil Nadu",None,None,None,None
1531,Sales Manager B2B & B2C (Data Science ED-TECH)-Noida,Emerging India Educational Services Pvt Ltd,"Noida, Uttar Pradesh",None,None,None,"₹30,000 - ₹50,000 a month"
1532,Assistant Manager - CMG - R&I - Data Science Specialist - Hyderabad,Deloitte,"Hyderabad, Telangana",None,None,None,None
1533,Data Science,Rojgar Group,"Mumbai, Maharashtra",None,None,None,None
1534,Senior Data Scientist,BigShyft,"Bengaluru, Karnataka",None,None,None,None
1535,"Manager, Machine Learning Engineer",Capital One,"Bengaluru, Karnataka",None,None,None,None
1536,Faculty - Artificial Intelligence,EIM,"Kochi, Kerala",None,None,None,None
1537,"Senior Data Scientist, SCM",Neem Consulting,Remote in India,None,None,None,None
1538,Quant Analytics - Associate Senior,JPMorgan Chase & Co,"Bengaluru, Karnataka",None,None,None,None
1539,Technical Content Creator - Artificial Intelligence,DTT (Digital Transformation Twin),"Lucknow, Uttar Pradesh",None,None,None,"₹35,000 - ₹45,000 a month"
1540,"Applied Scientist, EU INTech",ADCI - Karnataka,"Bengaluru, Karnataka",None,None,None,None
1541,Lead Analyst – Data Science,Travelopia,"Bengaluru, Karnataka",None,None,None,None
1542,Data Science Trainer cum Developer,Expertz lab Technologies,"Ernakulam, Kerala",None,None,None,"₹12,000 - ₹20,000 a month"
1543,Senior Data Scientist / Data Scientist 2,CommerceIQ,"Bengaluru, Karnataka",None,None,None,None
1544,Lead ML Engineer,Affine,India,None,None,None,None
1545,Senior Data scientist,ZF,"Chennai, Tamil Nadu",None,None,None,None
1546,Sales Manager B2B & B2C (Data Science ED-TECH)-Noida,Emerging India Educational Services Pvt Ltd,"Noida, Uttar Pradesh",None,None,None,"₹30,000 - ₹50,000 a month"
1547,Assistant Manager - CMG - R&I - Data Science Specialist - Hyderabad,Deloitte,"Hyderabad, Telangana",None,None,None,None
1548,Data Science,Rojgar Group,"Mumbai, Maharashtra",None,None,None,None
1549,Senior Data Scientist,BigShyft,"Bengaluru, Karnataka",None,None,None,None
1550,"Manager, Machine Learning Engineer",Capital One,"Bengaluru, Karnataka",None,None,None,None
1551,Faculty - Artificial Intelligence,EIM,"Kochi, Kerala",None,None,None,None
1552,"Senior Data Scientist, SCM",Neem Consulting,Remote in India,None,None,None,None
1553,Quant Analytics - Associate Senior,JPMorgan Chase & Co,"Bengaluru, Karnataka",None,None,None,None
1554,Technical Content Creator - Artificial Intelligence,DTT (Digital Transformation Twin),"Lucknow, Uttar Pradesh",None,None,None,"₹35,000 - ₹45,000 a month"
1555,"Applied Scientist, EU INTech",ADCI - Karnataka,"Bengaluru, Karnataka",None,None,None,None
1556,Lead Analyst – Data Science,Travelopia,"Bengaluru, Karnataka",None,None,None,None
1557,Data Science Trainer cum Developer,Expertz lab Technologies,"Ernakulam, Kerala",None,None,None,"₹12,000 - ₹20,000 a month"
1558,Senior Data Scientist / Data Scientist 2,CommerceIQ,"Bengaluru, Karnataka",None,None,None,None
1559,Lead ML Engineer,Affine,India,None,None,None,None
1560,Senior Data scientist,ZF,"Chennai, Tamil Nadu",None,None,None,None
1561,Sales Manager B2B & B2C (Data Science ED-TECH)-Noida,Emerging India Educational Services Pvt Ltd,"Noida, Uttar Pradesh",None,None,None,"₹30,000 - ₹50,000 a month"
1562,Assistant Manager - CMG - R&I - Data Science Specialist - Hyderabad,Deloitte,"Hyderabad, Telangana",None,None,None,None
1563,Data Science,Rojgar Group,"Mumbai, Maharashtra",None,None,None,None
1564,Senior Data Scientist,BigShyft,"Bengaluru, Karnataka",None,None,None,None
1565,"Manager, Machine Learning Engineer",Capital One,"Bengaluru, Karnataka",None,None,None,None
